ID,SKU,Nombre,Visibilidad en el catálogo,Precio normal,Meta: unidades_por_caja,Meta: el_producto_es_simple
1885,,Cortina de 144 leds,visible,,,Simple
1886,ZLE-8/ZLE-LN081,Cortina de 144 leds,visible,76000,100,
1887,ZLE-8,Cortina de 144 leds,visible,76000,100,
1888,ZLE-LN081,Cortina de 144 leds,visible,76000,100,
1889,ZLE-8/ZLE-LN081,Cortina de 144 leds,visible,890,,
1890,ZLE-8,Cortina de 144 leds,visible,890,,
1891,ZLE-LN081,Cortina de 144 leds,visible,890,,
1893,,Tira 200 leds,visible,,,Simple
1894,ZLE-9,Tira 200 leds,visible,720,,
1895,ZLE-9,Tira 200 leds,visible,720,,
1896,ZLE-9,Tira 200 leds,visible,720,,
1897,ZLE-9,Tira 200 leds,visible,37200,60,
1898,ZLE-9,Tira 200 leds,visible,37200,60,
1899,ZLE-9,Tira 200 leds,visible,37200,60,
1901,,Manguera 5 metros,visible,,,Simple
1902,ZLE-M3,Manguera 5 metros,visible,1050,,
1903,ZLE-M3,Manguera 5 metros,visible,1050,,
1904,ZLE-M3,Manguera 5 metros,visible,1050,,
1905,ZLE-M3,Manguera 5 metros,visible,18000,20,
1906,ZLE-M3,Manguera 5 metros,visible,18000,20,
1907,ZLE-M3,Manguera 5 metros,visible,18000,20,
1909,,Manguera 10 metros,visible,,,Simple
1910,ZLE-M4,Manguera 10 metros,visible,14500,,
1911,ZLE-M4,Manguera 10 metros,visible,14500,,
1912,ZLE-M4,Manguera 10 metros,visible,1700,10,
1913,ZLE-M4,Manguera 10 metros,visible,14500,,
1914,ZLE-M4,Manguera 10 metros,visible,1700,10,
1915,ZLE-M4,Manguera 10 metros,visible,1700,10,
1916,ZLE-M4,Manguera 10 metros,visible,1700,10,
1917,ZLE-M4,Manguera 10 metros,visible,1700,10,
1918,ZLE-M4,Manguera 10 metros,visible,14500,,
1919,ZLE-M4,Manguera 10 metros,visible,14500,,
1921,,Repuesto para colgante con luz (sin pila),visible,,,
1922,0813-7-3,Repuesto para colgante con luz (sin pila) - Por paquete,visible,1000,,
1923,0813-7-3,Repuesto para colgante con luz (sin pila) - Por bulto,visible,1000,20,
1926,,Repuesto para colgante con luz (con pila),visible,,,
1927,813-7-3-861,Repuesto para colgante con luz (con pila) - Por paquete,visible,6000,,
1929,,Mecanismo led semi-esferico,hidden,,,
1930,848-13-3,Mecanismo led semi-esferico - Por paquete,hidden,800,,
1932,,Mecanismo led esferico,visible,,,
1933,848-13-4,Mecanismo led esferico - Por paquete,visible,800,1,
1935,,Mecanismo led para globos (blanco),visible,,,
1936,848-13-1,Mecanismo led para globos (blanco) - Por paquete,visible,1300,1,
1938,,Mecanismo led para globos (multicolor),visible,,,Simple
1939,ZL858-3-1MU,Mecanismo led para globos (multicolor) - Por paquete,visible,1600,1,
1941,,Mecanismo led alambre,visible,,,Simple
1942,ZLE863-SX-01,Mecanismo led alambre,visible,1700,1,
1943,ZLE863-SX-01,Mecanismo led alambre,visible,1700,,
1944,ZLE863-SX-01,Mecanismo led alambre,visible,1700,,
1945,ZLE863-SX-01,Mecanismo led alambre,visible,1700,,
1946,ZLE863-SX-01,Mecanismo led alambre,visible,1700,,
1947,ZLE863-SX-01,Mecanismo led alambre,visible,1700,,
1950,,Mecanismo led para rompecocos,visible,,,
1951,Z628-SSS-01-858,Mecanismo led para rompecocos - Por paquete,visible,1500,1,
1953,,Tira led 5050,visible,,,Simple
1954,5050,Tira led 5050,visible,58800,60,
1955,5050,Tira led 5050,visible,1150,,
1958,,Globo números plateados x12 (40cm),visible,,,
1959,B008-0,Globo números plateados x12 (40cm),visible,450,,
1960,B008-9,Globo números plateados x12 (40cm) - 9,visible,450,,
1961,B008-8,Globo números plateados x12 (40cm) - 8,visible,450,,
1962,B008-7,Globo números plateados x12 (40cm) - 7,visible,450,,
1963,B008-6,Globo números plateados x12 (40cm) - 6,visible,450,,
1964,B008-5,Globo números plateados x12 (40cm) - 5,visible,450,,
1965,B008-4,Globo números plateados x12 (40cm) - 4,visible,450,,
1966,B008-3,Globo números plateados x12 (40cm) - 3,visible,450,,
1967,B008-2,Globo números plateados x12 (40cm) - 2,visible,450,,
1968,B008-1,Globo números plateados x12 (40cm) - 1,visible,450,,
1981,,Globo números dorados x12 (40cm),visible,,,Variable
1982,B015-4,Globo números dorados x12 (40cm) - 4,visible,450,,
1983,B015-0,Globo números dorados x12 (40cm),visible,450,,
1984,B015-9,Globo números dorados x12 (40cm) - 9,visible,450,,
1985,B015-8,Globo números dorados x12 (40cm) - 8,visible,450,,
1986,B015-7,Globo números dorados x12 (40cm) - 7,visible,450,,
1987,B015-6,Globo números dorados x12 (40cm) - 6,visible,450,,
1988,B015-5,Globo números dorados x12 (40cm) - 5,visible,450,,
1989,B015-3,Globo números dorados x12 (40cm) - 3,visible,450,,
1990,B015-2,Globo números dorados x12 (40cm) - 2,visible,450,,
